Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-06-01,嘉義縣,120.813242,23.508208,467530,1,766.9,3183.6,12.9,11.5,91,2.5,170,3.4,170,0.0,0.0,...,0.0,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,2,766.4,3178.7,12.7,11.3,91,1.6,160,3.7,160,0.0,0.0,...,0.0,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,3,766.2,3175.2,12.2,10.8,91,1.3,160,3.5,220,0.0,0.0,...,0.0,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,4,766.3,3176.9,12.8,10.7,87,2.3,180,3.6,160,0.0,0.0,...,0.0,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,5,766.5,3179.5,13.2,10.7,85,2.2,220,4.2,230,0.0,0.0,...,0.0,25.0,...,2.0
2020-06-01,嘉義縣,120.813242,23.508208,467530,6,766.9,3181.6,12.7,10.9,89,1.6,230,3.5,220,0.0,0.0,0.2,0.05,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,7,767.3,3186.2,13.2,11.8,91,0.8,190,3.0,220,0.0,0.0,1.0,0.73,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,8,767.6,3192.0,15.5,13.2,86,1.3,230,3.6,190,0.0,0.0,0.9,1.69,28.0,...,2.0
2020-06-01,嘉義縣,120.813242,23.508208,467530,9,767.8,3195.8,16.8,12.7,77,1.5,210,3.9,220,0.0,0.0,1.0,2.57,28.0,...,3.0
2020-06-01,嘉義縣,120.813242,23.508208,467530,10,767.6,3193.6,17.7,13.7,77,1.0,360,4.3,280,0.0,0.0,0.9,2.78,...,...,...
2020-06-01,嘉義縣,120.813242,23.508208,467530,11,767.6,3191.7,16.1,14.3,89,1.1,300,4.0,300,0.0,0.0,0.5,1.64,22.0,...,7.0
